Title,Author,Abstract,Comments,Year,Venue,DOI,Technology node,Output capacitor capacity [nF],Total capacitor capacity [nF],Active area [mm^2],Active & passive area [mm^2],Input voltage [V],Output voltage [V],Dropout voltage [V],Voltage droop [mV],Voltage overshoot [mV],Max load current [mA],Min load current [uA],Max (tested) load current change [mA],Edge time [ns],Settling time (droop) [ns],Settling time (overshoot) [ns],Quiescent current [?A],Peak current efficiency [%],Peak power efficiency [%],PSRR [dB],PSRR measurement frequency [MHz],Power-FET unit current [uA],Output ripple voltage [mV],Output voltage deadzone [mV],Output voltage error [mV],Output voltage temperature coefficient [ppm/oC],DC line regulation [mV/V],DC load regulation [mV/mA],Current Density [mA/mm^2],Load regulation FoM 1 [ps],Load regulation FoM 2 [pF],Load regulation FoM 3 [edge-adj ps],Load regulation FoM 4 [pC]
Fully Integrated Low-Drop-Out Regulator Based on Event-Driven PI Control,"Doyun Kim, Mingoo Seok","In Paper 8.2, Columbia University presents a design approach to break the trade-off between electrical passive component size and efficiency of LDO design by introducing an event-driven control scheme which allows short latency at low power dissipation. Measured data shows this 400?A class event-driven LDO at typical VIN=0.5V and VOUT=0.45V in a 65nm node, achieving high-performance controllability with the integrated Cout of 0.4nF and providing peak current efficiency of 96.3%.",,2016,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2016.7417950,65nm CMOS,0.4,,0.029,0.2013,0.5,0.45,0.05,40,,0.4,,0.4,0.1,80000,-,12.5,96.3,86.67,-,-,,,,n/a,,,,1.987083954,1250,1.111111111,1251.5625,0.500625
A 200mA Digital Low-Drop-Out Regulator with Coarse-Fine Dual Loop in Mobile Application Processors,"Yong-Jin Lee, Min-Yong Jung, Shashank Singh, Tae-Hwang Kong, Dae-Yong Kim, Kwang-Ho Kim, Sang-Ho Kim, Jae-Jin Park, Ho-Jin Park, Gyu-Hyeong Cho","In Paper 8.3, Samsung presents an LDO with two loops for precision output, which are a coarse loop using a current-mirror flash ADC and a fine loop using shift registers. The proposed LDO provides up to 200mA of load current and occupies an area of 0.021mm2 in 28nm. The output voltage droop is about 120mV for load variation of 90% of the maximum supported current load.",Same measurement in the journal paper. https://ieeexplore-ieee-org.ezproxy.cul.columbia.edu/stamp/stamp.jsp?tp=&arnumber=7740906,2016,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2016.7417951,28nm CMOS,23.5,,0.021,,1.1,0.9,0.2,120,200,200,-,180,4000,-,-,110,99.94,81.76909091,-,-,2000,-,-,0,-,-,-,-,9.574074074,1.914814815,1231.796296,221.7233333
A 0.45-to-1.2-V fully digital low-dropout voltage regulator with fast-transient controller for near/subthreshold circuits,Y. Li et al.,"A low quiescent current digital low-dropout (DLDO) voltage regulator with fast-transient response time is proposed for self-powered wireless sensor applications operating at near/subthreshold supply voltage. The D-LDO regulator incorporates both hill-climbing and binary search algorithms (HCBS) in the control logic, thus leveraging on each other's strengths to minimize the output voltage's ripple and the quiescent current during the steady-state period as well as output voltage's spike and response time during the transition period. Additional features such as hysteresis mode control and freeze mode control are incorporated into the system to improve the performance of the D-LDO regulator. A dynamic comparator is proposed for the near/subthreshold supply voltage operation, which minimizes the voltage error and improves the maximum operating frequency. Fabricated in 130-nm CMOS technology, the D-LDO regulator regulates the output voltage V OUT from 350 to 1150 mV, while the input supply voltage VIN ranges from 450 to 1200 mV. At a V OUT of 450 mV, V IN of 500 mV and an operating frequency of 10 MHz, the regulator delivers 1500-?A load current with I QUIESCENT of 8.9 ?A and a transient response time of 1.6 ?s. The maximum current and power efficiencies reach 99.9% and 89.9%, respectively. The measured line regulation and load regulation are 1.6 and 0.6 mV/mA, respectively.",,2016,TPE,10.1109/TPEL.2015.2506605,130 nm CMOS,1,,0.03,,0.5,0.45,0.05,100,,1.5,20,1.48,100,1600,,8.9,99.9,89.91,,,,2.6,,3.5,,1.6,0.6,-,406.3184806,1.336336336,706.9941563,1.046351351
Dual-mode low-drop-out regulator/power gate with linear and on–off conduction for microprocessor core on-die supply voltages in 14 nm,"K. Luria, J. Shor, M. Zelikson, and A. Lyakhov","A dual-mode digital power gate (PG) and linear low-drop-out regulator (LDO) has been demonstrated in 14 nm. A modified flipped source follower driver circuit is used to minimize dI/dt droops. The LDO has a novel compensation method which utilizes capacitance multiplication and can drive a 1-7 ?F load without any external compensation elements. This LDO exhibits high-current drive capability (3 A) at low-dropout voltages (<; 60 mV) and high-current efficiency (> 99%), making it suitable to drive a microprocessor core.",active area does not include power gate driver; voltage droop estimated from figure; dropout voltage is 0.08 @ 4A; 0.03 @ 2A; load regulation estimated from figure,2016,JSSC,10.1109/JSSC.2015.2512387,14 nm CMOS,4400,,0.041,,1,0.7,0.3,50,,4000,,3000,1.5,400,700,10000,99.7,69.79,-35,1,,1,,,,< 1,0.0225,-,244.4444444,1047.619048,246.9444444,740.8333333
A 130 nm hybrid low dropout regulator based on switched mode control for digital load circuits,S. Nasir et al.,"A hybrid (digital and analog) low dropout regulator (LDO) utilizing switched mode control is designed in 130 nm CMOS for fine grain power management, fast droop recovery and robust small signal regulation of multi-V CC digital loads. The design provides an optimal trade-off of performance and accuracy by switching between a digital and an analog control loop. The hybrid topology achieves robust small signal regulation and fast recovery from large signal transients or power state transitions. Measurements from a 130nm test-chip show Near-Threshold Voltage (NTV) operation, fast transient response of 18 ns for a load step of 10.3mA and a peak current efficiency of 98.64%.","also has NTV mode with Vin=0.6V, Vdo=50mV; passive area and edge time estimated from figure; FoM ps = 244.8 using reproted Tresponse;",2016,ESSCIRC,10.1109/ESSCIRC.2016.7598306,130 nm CMOS,0.5,,0.0818,0.2818,1.2,1.05,0.15,240,,12,,10.3,3,32,,163.2,98.64,86.31,-12,1,,,,,,absolute error <5,< 2.67,42.58339248,184.5979828,1.810818308,208.3649731,2.146159223
A Fully Integrated Digital Low-Dropout Regulator Based on Event-Driven Explicit Time-Coding Architecture,D. Kim et al.,"his paper presents a fully integrated digital low-dropout (LDO) voltage regulator based on event-driven control architecture. The focus of the paper is to scale the off-chip output capacitor of an LDO conventionally used to compensate fast load current change. To shrink the output capacitor size, it is paramount to shorten control latency. This can be done by employing a high-speed error amplifier in analog LDO designs and by using fast clock in digital synchronous LDO designs. However, those approaches become less suitable for sub-1-V supply voltage due to the headroom problem of analog circuits and/or increase power dissipation due to the high-frequency clock. In this paper, we tackle the tradeoff between power consumption and control latency by introducing an event-driven approach. Our event-driven approach enables to perform regulation tasks only when the output voltage deviates significantly from a set point, simultaneously achieving short latency and low-power dissipation. We prototyped an eventdriven digital LDO that supports 400-?A load current at 0.5-V input and 0.45-V output voltage. The measurements show 40-mV droop voltage and 96.3% peak current efficiency with an on-chip integrated 0.4-nF output capacitor.",,2017,JSSC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/JSSC.2017.2740269,65nm CMOS,,,0.029,0.2013,,,,,,,,,,,,,,-,,,,,,,,,,-,-,-,-,-
Digital Low-Dropout Regulator with Anti PVT-Variation Technique for Dynamic Voltage Scaling and Adaptive Voltage Scaling Multicore Processor,"Wen-Jie Tsou, Wen-Hau Yang, Jian-He Lin, Hsin Chen, Ke-Horng Chen, Chin-Long Wey, Ying-Hsi Lin, Shian-Ru Lin, Tsung-Yen Tsai","In Paper 20.2, National Chiao Tung University presents a digital LDO that improves load regulation and output ripple voltage in the presence of PVT variations. The proposed DLDO occupies 0.193mm2 in 40nm and achieves less than 3mV output ripple across 0°C to 80°C and output voltage from 0.6V to 1V, and the transient response time is 1.3?s for a load step from 1mA to 201mA.","Iq,min is used for FoM1,2",2017,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2017.7870399,40nm CMOS,20,,0.1926,,1.1,0.5,0.6,36,24,210,-,200,1000,1300,1600,22.6,-,45.45454545,-,-,-,3,-,3,-,-,0.075,-,0.4068,0.16272,56.9068,11.38136
A 100nA-to-2mA Successive-Approximation Digital LDO with PD Compensation and Sub-LSB Duty Control Achieving a 15.1ns Response Time at 0.5V,"Loai G. Salem, Julian Warchall, Patrick P. Mercier","In Paper 20.3, the University of California, San Diego describes a new recursive LDO that dramatically improves response time and load regulation range using a SAR-like binary search algorithm in its coarse loop. The 65nm design specifically achieves 15.1ns and 100ns response and settling times, respectively, while maintaining 5.6mV/mA load regulation and loop stability across a 20,000× dynamic load range.",,2017,ISSCC,10.1109/ISSCC.2017.7870400,65nm CMOS,0.4,,0.0023,0.07708,0.5,0.45,0.05,40,,2,,1.06,1,100,,14,,0,,,,,,n/a,,2.3,5.6,25.94706798,199.3592026,0.469601677,205.9629761,0.218320755
An Output-Capacitor-Free Analog-Assisted Digital Low-Dropout Regulator with Tri-Loop Control,"Mo Huang, Yan Lu1, Seng-Pan U, Rui P. Martins","In Paper 20.4, the University of Macau presents an analog-assisted digital LDO that focuses on achieving fast transient response, low power, and output capacitor size reduction. A high-pass filter is used in addition to conventional coarse and fine loops to improve output voltage regulation under fast load current steps. Undershoot of 105mV with a 10mA/1ns load step is achieved.",Coupling capacitor is taken as Cout,2017,ISSCC,10.1109/ISSCC.2017.7870401,65nm CMOS,0.1,,0.03,0.03,0.6,0.5,0.1,105,,12,,10,1,,,3.2,,0,,,,,,n/a,,,,400,0.336,0.00672,0.496,0.00496
A 0.5V-VIN 1.44mA-Class Event-Driven Digital LDO with a Fully Integrated 100pF Output Capacitor,"Doyun Kim, Jonghwan Kim, Hyunju Ham, Mingoo Seok","In Paper 20.6, Columbia University presents an event-driven LDO that significantly reduces the output capacitor size, while supporting higher load current compared to a recently presented event-driven LDO. The design reduces feedback latency using fine-grained parallelism in the PI controller, and achieves 99.2% peak current efficiency and <7.6% output voltage change for 1.44mA load change with 0.1nF output capacitance.",Iq is computed from reported FoM,2017,ISSCC,https://doi.org/10.1109/ISSCC.2017.7870403,65nm CMOS,0.1,,0.03,0.03,0.5,0.45,0.05,34,,1.525,,1.44,-,11200,1410,12.2,99.2,89.28,,,,,10,10,,,,50.83333333,20.00385802,0.064012346,,
A synthesizable time-based LDO using digital standard cells and analog pass transistor,A. Fahmy et al.,"A fully synthesizable analog-like loop filter for a Low-Dropout regulator using only digital standard cells is proposed. To accommodate this, various blocks such as comparator, time-to-digital converter and charge-pumps are developed using only standard cells. The fabricated prototype in 0.13?m process occupying 0.0875mm 2 provides 15mA current with minimum quiescent current of 140?A and load transient response of less than 600ns.",droop voltage and settling time estimated from figure; line regulation and load regulation calculated from data in figure; use total capacity in calculating FoM,2017,ESSCIRC,10.1109/ESSCIRC.2017.8094578,130 nm CMOS,0,0.036,,0.0875,1,0.8,0.2,200,120,15,,15,,400,400,300,99.06,79.248,,,,< 5,,,,50.5,0.8,171.4285714,9.6,0.18,-,0.144
"A digitally controlled linear regulator for per-core wide-range DVFS of atom™ cores in 14nm tri-gate CMOS featuring non-linear control, adaptive gain and code roaming","R. Muthukaruppan, et al.",A digitally controlled LDO in 14nm tri-gate CMOS powering an Atom™ core with embedded power gates enables per-core DVFS over a wide voltage-frequency range. The LDO demonstrates 99.6% peak current efficiency at 2.5A load current and provides a power density of 26.1 W/mm 2 . The multi-mode digital controller featuring non-linear mode and adaptive gain achieves <;20ns settling time with a 100mV droop for a 1.2A load step. A code roaming algorithm complements the feedback controller to successfully mitigate reliability issues from power gate transistor self-heating and electromigration.,"Iq calculated from data in paper (CE); reported FoM ps = 14.8, since Vdroop and Tsettle maybe smaller; min dropout voltage is 15mV; output ripple estimated from figure",2017,ESSCIRC,10.1109/ESSCIRC.2017.8094579,14 nm CMOS,24,,0.115,0.115,-,1.05,-,100,,2500,200000,1200,1,20,,10000,99.6,-,,,,50,,,,,,21739.13043,16.66666667,19.04761905,20.83333333,25
Digitally Controlled Voltage Regulator Using Oscillator-based ADC with fast transient-response and wide dropout range in 14nm CMOS,T. Mahajan et al.,"In this paper, we propose a digitally controlled voltage regulator with fast-transient-response using an oscillator based ADC implemented in 14nm CMOS technology. The transient response is critical to mitigate droop for large di/dt seen in cores and wide dropout range helps enable DVFS to improve power/performance ratio. In this work, we target 1-1.15V input voltage with output voltage range of 0.5-1.12V with minimum 30mV dropout, and load current range of >22x with 0.1A-2.2A at 50mV dropout with <;0.006mV/mA load regulation using 10-bit power-stage binary control and characterized using a slew-rate programmable synthetic resistive load on-die to mimic core with 18nF load capacitance implemented on-die using area over load.",Iq calculated from data in paper (CE); Tsettle is reported to be 6ns; Vdropout=50mV @I=2.2A; Vdropout=30mV @I=1.5A,2017,CICC,10.1109/CICC.2017.7993670,14 nm CMOS,18,,0.104,1.53,1.1,1,0.1,100,,2200,,1000,10,14.2,,15062,99.32,90.29090909,,,,< 60,,,,,< 0.006,1437.908497,27.1116,27.1116,102.4216,102.4216
A synthesizable time-based LDO using digital standard cells and analog pass transistor,A. Fahmy et al.,"A fully synthesizable analog-like loop filter for a Low-Dropout regulator using only digital standard cells is proposed. To accommodate this, various blocks such as comparator, time-to-digital converter and charge-pumps are developed using only standard cells. The fabricated prototype in 0.13?m process occupying 0.0875mm 2 provides 15mA current with minimum quiescent current of 140?A and load transient response of less than 600ns.",droop voltage and settling time estimated from figure; line regulation and load regulation calculated from data in figure; use total capacity in calculating FoM,2017,ESSCIRC,10.1109/ESSCIRC.2017.8094578,130 nm CMOS,0,0.036,,0.0875,1.2,1,0.2,120,200,15,,15,,400,600,300,99.06,82.55,,,,< 5,,,,50.5,0.8,171.4285714,5.76,0.0864,-,0.0864
A 0.4V 430nA Quiescent Current NMOS Digital LDO with NAND-Based Analog-Assisted Loop in 28nm CMOS,"Xiaofei Ma, Yan Lu1, Rui P. Martins, Qiang Li","In Paper 18.4, the University of Macau presents a digital LDO design that exploits an NMOS power device for intrinsic response to output voltage droops, and employs a high-pass analog path with a voltagedoubled NAND gate to increase conductance during load transients. Together, these techniques enable a 5.1fs speed FoM in a 0.0055mm2 28nm LDO that provides 20mA output current with 50mV minimum dropout.",Coupling capacitor is taken as Cout; current efficiency is calculated based on dIload,2018,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2018.8310306,28nm CMOS,0.012,0.024,,0.0055,0.5,0.45,0.05,117,49,20.5,,20,3,9000,11000,0.81,99.99595,89.996355,-,-,-,-,-,-,-,-,-,3727.272727,0.0028431,0.00012636,0.0635931,0.001271862
A Fully Integrated 40pF Output Capacitor Beat-Frequency-Quantizer-Based Digital LDO with Built-In Adaptive Sampling and Active Voltage Positioning,"Somnath Kundu, Muqing Liu, Richard Wong, Shi-Jie Wen, Chris H. Kim","In Paper 18.5, the University of Minnesota and Cisco describe a new approach to balancing the demands of response time (speed) and quiescent current (power) in a digital LDO. An adaptive sampling frequency is generated via a beat-frequency quantizer. The resulting 0.0374mm2 design in 65nm improves settling time by 25. and voltage droop by 5. over a fixed sampling frequency design and uses a small 40pF output capacitor.",Iq is computed from reported FoM,2018,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2018.8310307,65nm CMOS,0.04,,0.0374,0.0374,1,0.8,0.2,108,148,100,,50,1240,1240,1130,800,99.5,79.6,-37.5,1,-,-,-,-,-,-,-,2673.796791,1.3824,0.0864,9921.3824,496.06912
A 500mA Analog-Assisted Digital-LDO-Based On-Chip Distributed Power Delivery Grid with Cooperative Regulation and IR-Drop Reduction in 65nm CMOS,"Yasu Lu, Fan Yang, Feng Chen, Philip K. T. Mok","In Paper 18.6, the Hong Kong University of Science and Technology presents a 3×3 mesh of analogassisted LDOs that work together to supply 500mA to an unevenly distributed load. Using interleaved phases for clocking, the 9 LDOs work together to improve response speed. The design is fabricated in 65nm CMOS process and employs a 0.9nF on-chip capacitor.",FoM2 is scaled for 9 distributed LDOs; ,2018,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2018.8310308,65nm CMOS,0.9,,0.7758,0.7758,1.2,1.15,0.05,125,45,500,-,450,20,250,1180,500,99.9,95.7375,-,-,-,4,exists; n/d,4,-,,0.833333333,644.4960041,0.277777778,0.108695652,11.38888889,5.125
A Sub-1.55mV-Accuracy 36.9ps-FOM Digital-Low-Dropout Regulator Employing Switched-Capacitor Resistance,"Loai G. Salem, Patrick P. Mercier","In Paper 18.7, the University of California San Diego describes a fully digital LDO that uses a switchedcapacitor resistance to replace the PMOS switch array in conventional digital LDOs. The 65nm CMOS design achieves 99.3% peak current efficiency at 3mA ILOAD, 34.3ps speed FoM and less than 1.5mV steady state error.",,2018,ISSCC,https://doi-org.ezproxy.cul.columbia.edu/10.1109/ISSCC.2018.8310309,65nm CMOS,0.365,,0.00137,0.117,0.9,0.7,0.2,20.5,28.9,3,10,3.25,0.2,7,30,48.4,99.3,77.23333333,-,-,-,3.1,-,3.1,-,-,1.033333333,25.64102564,34.28667456,0.159188132,35.77590533,0.116271692
